categorieenseigne;prixproduit;identifiantproduit;ean;disponible
Offres spéciales|Promotions;5.85;85061;;1
Offres spéciales|Promotions;2.17;51605;;1
Offres spéciales|Promotions;5.8;61289;;1
Offres spéciales|Promotions;5.8;78386;;1
Offres spéciales|Promotions;2.32;3700;;1
Offres spéciales|Promotions;5.59;78447;;1
Offres spéciales|Promotions;3.14;19399;;1
Offres spéciales|Promotions;3.15;19404;;1
Offres spéciales|Promotions;3.9;75511;;1
Offres spéciales|Promotions;3.9;41578;;1
Offres spéciales|Promotions;1.01;37999;;1
Offres spéciales|Promotions;2.51;67162;;1
Offres spéciales|Promotions;4.99;79026;;1
Offres spéciales|Promotions;5.18;57304;;1
Offres spéciales|Promotions;19.93;55833;;1
Offres spéciales|Promotions;0.67;7345;;1
Offres spéciales|Promotions;0.67;91221;;1
Offres spéciales|Promotions;0.66;7343;;1
Offres spéciales|Promotions;2.3;75335;;1
Offres spéciales|Promotions;5.38;70061;;1
Offres spéciales|Promotions;2.02;52094;;1
Offres spéciales|Promotions;2.02;56874;;1
Offres spéciales|Promotions;2.02;33891;;1
Offres spéciales|Promotions;2.02;19491;;1
Offres spéciales|Promotions;2.02;3712;;1
Offres spéciales|Promotions;2.02;3455;;1
Offres spéciales|Promotions;4.45;4567;;1
Offres spéciales|Promotions;4.45;4566;;1
Offres spéciales|Promotions;4.45;39491;;1
Offres spéciales|Promotions;4.45;3091;;1
Offres spéciales|Promotions;4.46;69590;;1
Offres spéciales|Promotions;1.09;92089;;1
Offres spéciales|Promotions;1.39;28980;;1
Offres spéciales|Promotions;1.38;30645;;1
Offres spéciales|Promotions;1.38;5025;;1
Offres spéciales|Promotions;2.95;6021;;1
Offres spéciales|Promotions;1.69;6111;;1
Offres spéciales|Promotions;4.76;16796;;1
Offres spéciales|Promotions;1.67;46039;;1
Offres spéciales|Promotions;1.97;786;;1
Offres spéciales|Promotions;1.76;80329;;1
Offres spéciales|Promotions;1.38;807;;1
Offres spéciales|Promotions;3.67;52804;;1
Offres spéciales|Promotions;2.88;79350;;1
Offres spéciales|Promotions;1.36;30089;;1
