pe_ref_in_enseigne,pe_id,p_id_cat
35143,400479,1481E
7428,413257,116D
19197,413258,1318E
6420,413259,2003E
24668,413260,253D
873,413261,4085F
376,413262,562D
3155,413263,670F
4885,413264,4120F
4882,413265,4121F
6147,413266,1850E
8507,413267,620F
23570,413268,3132F
885,413269,4082F
9267,413270,1558E
19275,413271,4629F
5166,413272,3934F
16103,413273,4130F
2234,413274,1566E
28381,413275,288D
14292,413276,353D
25879,413277,1444E
14435,413278,4019F
8000,413279,648E
7775,413280,534F
5414,413281,477D
7018,413282,4135F
22877,413283,4082F
26014,413284,238D
5065,413285,148D
1464,413286,432D
2652,413287,215D
30936,413288,1364E
22564,413289,4175F
3226,413290,1534E
19968,413291,285D
26517,413292,205E
29570,413293,295D
5810,413294,285D
2341,413295,416D
8629,413296,1939E
15744,413297,1891E
25255,413298,202D
1934,413300,669F
9257,413301,520D
3225,413302,1534E
20428,413303,1909E
7350,413304,121D
441,413305,155D
25509,413306,486E
5071,413307,115F
20576,413308,510D
24597,413309,55D
405,413310,3396F
26742,413311,113D
25246,413312,202D
2728,413313,1891E
8375,413314,1450E
26480,413315,4145F
8574,413316,3421F
2744,413317,206D
21630,413318,55D
2841,413319,4066F
4970,413320,300D
24306,413321,361E
18107,413322,4135F
28711,413323,1028E
8465,413324,190E
24661,413325,1497E
778,413326,1489E
24633,413327,3857F
486,413328,4631F
3640,413329,1513E
14829,413330,2047E
9214,413331,304D
9050,413332,215E
5708,413333,55D
8156,413334,485D
17582,413335,545D
827,413336,4076F
26504,413337,4130F
7743,413338,272D
2617,413339,1742F
20979,413340,1103E
24174,413341,1471E
15656,413342,511F
2569,413343,2065E
2511,413344,560D
20091,413345,4038F
19260,413346,2155E
2339,413347,402D
2257,413348,598D
24301,413349,4458F
1916,413350,1547E
26206,413351,1103E
2401,413352,510D
1912,413353,4359F
18632,413354,4132F
2181,413355,564D
20470,413356,288D
30213,413357,3966F
8821,413358,181D
14696,413359,1597E
18392,413360,1367E
20398,413361,2003E
6808,413362,4451F
1869,413363,564D
23931,413364,4384F
26650,413365,138D
26065,413366,295D
3619,413367,55D
27280,413368,1353E
25040,413369,2038E
20013,413370,2129E
26677,413371,4130F
3212,413372,148D
706,413373,1909E
636,413374,347D
17679,413375,14D
6192,413376,304D
16947,413377,3502F
23657,413378,4120F
431,413379,154D
7998,413380,660E
6294,413381,273D
6367,413382,1909E
15819,413383,3859F
22934,413384,1303E
3700,413385,671F
11391,413386,4389F
773,413387,1486E
6291,413388,1544E
3349,413389,3410F
2112,413390,2043E
8975,413391,1934E
415,413392,3399F
2211,413393,1789E
7352,413394,121D
31026,413395,777F
18402,413396,1351E
3726,413397,4129F
4896,413398,4120F
20556,413399,194E
15886,413400,55D
2011,413402,218D
15978,413403,115F
25282,413404,352E
21200,413405,
6152,413406,3502F
26059,413407,4087F
2351,413408,2139E
427,413409,154D
5536,413410,1850E
14664,413411,2003E
2618,413412,4445F
775,413413,1508E
3224,413414,4349F
3232,413415,187D
11058,413416,304D
5179,413417,4120F
19686,413418,136D
22684,413419,288D
26507,413420,4130F
11906,413421,212E
1134,413422,648E
2759,413423,4448F
19033,413424,105D
5675,413425,
20548,413426,235D
8515,413427,1444E
3968,413428,155D
307,413429,558D
31126,413430,4080F
12598,413431,155D
26833,413432,84E
3279,413433,85D
333,413434,187D
3058,413435,1566E
15350,413436,14D
20044,413437,4019F
12542,413438,3859F
11907,413439,534F
195,413440,4348F
9597,413441,
3823,413442,304D
21060,413444,4087F
17621,413445,30D
425,413446,154D
4880,413447,4121F
728,413448,4040F
13730,413449,1428E
22935,413450,1303E
20693,413452,270D
14686,413453,2003E
25261,413454,3132F
3569,413455,99D
18415,413456,3441F
395,413457,675F
24642,413458,3858F
24590,413459,462D
3639,413460,1485E
18396,413461,1368E
4610,413462,3408F
8153,413463,485D
1953,413464,4630F
18627,413465,4132F
3361,413466,3389F
4887,413467,4120F
5774,413468,4646F
24718,413469,3857F
15576,413470,3859F
2403,413471,510D
5090,413472,2174E
6479,413473,299D
3544,413475,360E
7964,413476,295D
1962,413477,359E
25921,413478,1292E
25942,413479,2030E
2215,413480,1566E
5169,413481,3933F
648,413482,436E
9201,413483,1831E
3355,413484,3933F
8553,413485,3306F
6206,413486,1481E
24669,413487,247D
20727,413488,243D
15878,413489,462D
28473,413490,3410F
28089,413491,3132F
5670,413492,660E
3923,413493,278D
23814,413494,205E
23557,413495,2138E
19211,413496,120D
24749,413497,2003E
8449,413498,1480E
3085,413499,1492E
8575,413500,359E
26454,413501,4008F
2950,413502,560D
16392,413503,299D
27121,413504,3271F
2589,413505,205D
7459,413506,4349F
19247,413507,64E
24753,413508,2676F
23366,413509,30D
266,413510,552D
3116,413511,4130F
7769,413512,270D
30975,413513,2038E
6355,413514,
3178,413515,934E
1736,413516,3389F
15513,413517,1850E
3366,413518,2003E
7899,413519,1597E
2119,413520,299D
2293,413521,3856F
24645,413522,2059E
4567,413523,274D
14931,413524,218D
5540,413525,2030E
7976,413526,1481E
6804,413527,534F
6787,413528,1367E
3276,413529,122D
4664,413530,352D
274,413531,1847E
2304,413532,3857F
5447,413533,207E
26518,413534,205E
25153,413536,2103E
29845,413537,1369E
4906,413538,4132F
15598,413539,4040F
4909,413540,4132F
3533,413541,1429E
9273,413542,1847E
522,413543,3933F
27630,413544,2038E
24787,413545,436E
26368,413547,215E
428,413548,154D
3410,413549,3286F
27059,413550,2039E
24496,413551,3352F
4396,413552,2035E
366,413553,570D
25263,413554,3132F
26210,413555,1471E
29170,413556,1103E
3666,413557,247D
5305,413558,154D
6383,413559,3858F
930,413560,663E
15181,413561,450E
3669,413562,3854F
6789,413563,1368E
28908,413564,664E
30394,413565,1369E
1187,413566,647E
2241,413567,215E
4992,413568,2040F
9435,413569,227D
3417,413570,207E
18412,413571,3410F
5771,413572,2015E
6154,413573,3502F
26680,413574,4130F
3601,413575,133D
24530,413576,432D
2451,413577,1789E
25280,413578,
3872,413579,525F
3018,413580,168D
